metric,tree_only_platt,lgbm_xgb_lstm_platt,delta
PR-AUC,0.2714,0.26563825080198944,-0.005761749198010535
P@5%,0.2689,0.26704545454545453,-0.001854545454545442
P@10%,,0.18181818181818182,
Recall@Prec>=0.10,,0.7534883720930232,
Recall@Prec>=0.20,,0.38372093023255816,
Recall@Prec>=0.30,,0.28837209302325584,
Brier Score,,0.03592022870768776,
ECE,0.0083,0.006670180984204332,-0.001629819015795668
