method,pr_auc,p_at_top5pct,r_at_p010,r_at_p020,r_at_p030,ece,brier_score
raw_lgb,0.1627867585966443,0.22537878787878787,0.6209302325581395,0.32558139534883723,0.11162790697674418,0.18294323990729588,0.09517285706934192
platt,0.1627867585966443,0.22537878787878787,0.6209302325581395,0.32558139534883723,0.11162790697674418,0.0020707447288549176,0.03669611936846946
isotonic,0.15914423866395316,0.22537878787878787,0.586046511627907,0.31627906976744186,0.09069767441860466,0.0,0.03632945370981198
