variant,description,lgbm_pr_auc,xgb_pr_auc,platt_pr_auc,iso_pr_auc,p_at_top5pct,p_at_top10pct,recall_010,recall_020,recall_030,brier,ece,best_meta_c,n_features,saved_test,elapsed_s,delta_vs_best
lgbm_num_leaves_31,LightGBM num_leaves=31 (shallower),0.2636217780038682,0.21949675117757278,0.24132792521843274,0.23423107078959368,0.2481060606060606,0.18087121212121213,0.713953488372093,0.4069767441860465,0.2302325581395349,0.035985688136079386,0.006242339597504795,0.01,57,False,33.1,-0.030072074781567232
lgbm_num_leaves_127,LightGBM num_leaves=127 (deeper),0.25194904642536664,0.21949675117757278,0.237414997266637,0.2315303193549562,0.23674242424242425,0.17234848484848486,0.713953488372093,0.3813953488372093,0.23953488372093024,0.036143257310150036,0.005649503612066625,0.01,57,False,79.3,-0.03398500273336297
lgbm_spw_sqrt,LightGBM scale_pos_weight=sqrt(neg/pos)=4.7258,0.2699548181836211,0.21949675117757278,0.2551344845753788,0.24336987537018615,0.25946969696969696,0.18276515151515152,0.6883720930232559,0.3953488372093023,0.2813953488372093,0.03566011727837139,0.006287175316198717,1.0,57,False,47.3,-0.01626551542462118
lgbm_spw_10,LightGBM scale_pos_weight=10,0.2616997550545124,0.21949675117757278,0.2456704738568436,0.2349731181743746,0.2518939393939394,0.18181818181818182,0.7162790697674418,0.3883720930232558,0.2558139534883721,0.03582253476263856,0.0063714520499825065,0.01,57,False,48.0,-0.025729526143156378
lgbm_min_child_50,LightGBM min_child_samples=50,0.262029869083847,0.21949675117757278,0.24424017021758224,0.22979431487183735,0.24621212121212122,0.17613636363636365,0.7162790697674418,0.39767441860465114,0.2534883720930233,0.03592616068144278,0.006206349326283332,0.01,57,False,48.7,-0.027159829782417738
xgb_depth_3,XGBoost max_depth=3 (shallower),0.2605940077364242,0.21352694201274405,0.23859859600967012,0.22997961253109112,0.24431818181818182,0.17897727272727273,0.7232558139534884,0.39069767441860465,0.24651162790697675,0.03605894843273972,0.006739948874132638,0.01,57,False,47.4,-0.03280140399032985
xgb_depth_5,XGBoost max_depth=5 (deeper),0.2605940077364242,0.2313710161917304,0.249349219181369,0.23697375875615306,0.25,0.17992424242424243,0.7558139534883721,0.39069767441860465,0.25813953488372093,0.0359652538881491,0.007176830939130909,0.01,57,False,50.5,-0.02205078081863099
xgb_spw_sqrt,XGBoost scale_pos_weight=sqrt(neg/pos)=4.7258,0.2605940077364242,0.23615218642838412,0.24660223806653597,0.23879335740908497,0.2481060606060606,0.18181818181818182,0.7534883720930232,0.4046511627906977,0.2558139534883721,0.035623056600685286,0.003964857728811598,0.01,57,False,49.4,-0.024797761933464002
xgb_spw_10,XGBoost scale_pos_weight=10,0.2605940077364242,0.21895339669043065,0.23354065341398428,0.2274746873404283,0.24242424242424243,0.17897727272727273,0.7302325581395349,0.36511627906976746,0.23488372093023255,0.03586389608510948,0.004914986515357267,0.01,57,False,48.3,-0.037859346586015696
