method,pr_auc,p_at_top5pct,r_at_p010,r_at_p020,r_at_p030,ece,brier_score
raw_lgb,0.17413665869338235,0.2159090909090909,0.6209302325581395,0.29534883720930233,0.1697674418604651,0.2771022014388395,0.1390043345447536
platt,0.17413665869338235,0.2159090909090909,0.6209302325581395,0.29534883720930233,0.1697674418604651,0.0029328761798951258,0.03653208495280511
isotonic,0.16864072002671332,0.2178030303030303,0.5744186046511628,0.29534883720930233,0.16744186046511628,1.3567522752618907e-18,0.03610314826074888
