group,n_features,lgbm_pr_auc,xgb_pr_auc,stack_raw_pr_auc,stack_platt_pr_auc,stack_iso_pr_auc,p_at_top5pct,p_at_top10pct,recall_at_prec010,recall_at_prec020,recall_at_prec030,brier_score,ece,best_meta_c,saved_test,elapsed_s,delta_vs_best
full_best,57,0.26536798769992487,0.25981947363252095,0.2697072765592309,0.2697072765592309,0.2581822088898571,0.26136363636363635,0.18181818181818182,0.7558139534883721,0.4069767441860465,0.30697674418604654,0.035801155557517526,0.007426340019350041,0.01,False,56.3,-0.001692723440769095
acled_only_plus_se_mask,22,0.23187618533662102,0.22699284405735157,0.23015379665440636,0.23015379665440636,0.22055062741404774,0.22727272727272727,0.16382575757575757,0.7348837209302326,0.31627906976744186,0.2302325581395349,0.03633320694073977,0.005735778798705448,0.01,False,43.1,-0.04124620334559362
gdelt_only_plus_se_mask,21,0.10511503598258745,0.10732018424652189,0.10792751821520973,0.10792751821520973,0.10328127349259891,0.13636363636363635,0.10416666666666667,0.28604651162790695,0.07906976744186046,0.03953488372093023,0.0383899877149378,0.003015975406515746,0.1,False,43.6,-0.16347248178479024
economic_only_plus_se_mask,17,0.06231870211017142,0.059184255882136286,0.062456597228555816,0.062456597228555816,0.06211263032164767,0.08143939393939394,0.08143939393939394,0.03488372093023256,0.0,0.0,0.038970212049095836,4.922514762064484e-05,0.01,False,42.5,-0.20894340277144416
se_mask_only,2,0.06080858735787857,0.06278754843266983,0.06196212494104004,0.06196212494104004,0.06120539170594616,0.08143939393939394,0.07386363636363637,0.030232558139534883,0.0,0.0,0.03883509767289151,1.632185086588439e-05,1.0,False,39.4,-0.20943787505895994
no_acled_features,37,0.1724442384157772,0.1219208627943345,0.16703499580449124,0.16703499580449124,0.15923245257791305,0.20075757575757575,0.13920454545454544,0.5302325581395348,0.24651162790697675,0.13953488372093023,0.037446142159743255,0.004566267233777522,10.0,False,50.5,-0.10436500419550873
no_gdelt_features,38,0.2545479694443442,0.22784435909828343,0.24864133578818257,0.24864133578818257,0.2367725902280435,0.2556818181818182,0.17897727272727273,0.7465116279069768,0.3767441860465116,0.2627906976744186,0.0360730195246537,0.005972750342082508,0.01,False,47.7,-0.02275866421181741
no_economic_features,42,0.2687188414047925,0.23627949058941447,0.2552205477255907,0.2552205477255907,0.24444318686796568,0.26515151515151514,0.17708333333333334,0.7302325581395349,0.4,0.30465116279069765,0.035885402798068976,0.00760670471265841,0.01,False,50.2,-0.016179452274409256
