date,country,y_escalation,y_prob
2024-04-17 00:00:00+00:00,SOM,1,0.014294276912093711
2024-03-01 00:00:00+00:00,HND,1,0.019678880181308745
2024-02-06 00:00:00+00:00,MMR,1,0.02297451080900505
2024-02-08 00:00:00+00:00,MOZ,1,0.031663414154382785
2024-01-04 00:00:00+00:00,HND,1,0.03334602274984453
2024-01-14 00:00:00+00:00,HTI,1,0.03433220887137474
2024-03-29 00:00:00+00:00,ECU,1,0.034348193921254
2024-02-04 00:00:00+00:00,BGD,1,0.03440796019363946
2024-06-29 00:00:00+00:00,YEM,1,0.03592485286299285
2024-03-06 00:00:00+00:00,CAF,1,0.03707693447654213
2024-06-12 00:00:00+00:00,ERI,1,0.03781348597416088
2024-02-01 00:00:00+00:00,IRQ,1,0.0385021687880457
2024-06-08 00:00:00+00:00,NER,1,0.03999434115287082
2024-06-07 00:00:00+00:00,SYR,1,0.04003721500074486
2024-03-04 00:00:00+00:00,MMR,1,0.0416453395544103
2024-06-30 00:00:00+00:00,YEM,1,0.04403946181854
2024-03-29 00:00:00+00:00,YEM,1,0.044888637025923175
2024-05-27 00:00:00+00:00,COD,1,0.0489709682029464
2024-01-05 00:00:00+00:00,HND,1,0.04979085803948972
2024-02-13 00:00:00+00:00,LBN,1,0.05383026861265627
2024-04-21 00:00:00+00:00,PHL,1,0.05561870886751343
2024-06-26 00:00:00+00:00,SOM,1,0.0603168855208099
2024-06-09 00:00:00+00:00,BGD,1,0.060921405088643917
2024-03-18 00:00:00+00:00,MDG,1,0.061401018220629405
2024-04-02 00:00:00+00:00,IRN,1,0.06469374215732618
2024-05-19 00:00:00+00:00,UKR,1,0.06719693806919526
2024-01-29 00:00:00+00:00,PAK,1,0.06914250555663534
2024-05-07 00:00:00+00:00,BFA,1,0.06930372382707374
2024-03-15 00:00:00+00:00,BFA,1,0.07708266130177177
2024-01-03 00:00:00+00:00,MDG,1,0.07914278242339437
